name	description	service	nutritional_type	total_time_category	preparation_time_category	cooking_time_category	requires_watch	difficulty	is_warm	is_tupper_friendly	season_month
riz aux carottes	recettes Louise	plat	légume, féculent	moyen	rapide	moyen	FALSE	facile	TRUE	TRUE	janvier, février, mars, avril, mai, juin, juillet, août , septembre, octobre, novembre, décembre
pâtes aux courgettes et au citron	livre casseroles p.15	plat	complet	rapide	rapide	rapide	TRUE	facile	TRUE	TRUE	juin, juillet, août , septembre, octobre, novembre
gnocchis sauce tomate	recettes Louise	plat	complet	rapide	rapide	rapide	TRUE	facile	TRUE	FALSE	mars, avril, mai, juin, juillet, août
quiche au jambon	recettes MAP	plat	complet	long	rapide	moyen	FALSE	moyen	TRUE	FALSE	janvier, février, mars, avril, mai, juin, juillet, août , septembre, octobre, novembre, décembre
quinoa avec poivrons et oignons revenus à la poêle	bonus : amandes	plat	légume, féculent	moyen	rapide	moyen	TRUE	facile	TRUE	TRUE	
semoule avec poivrons et oignons revenus à la poêle		plat	légume, féculent	moyen	rapide	moyen	TRUE	facile	TRUE	TRUE	
pommes de terre vapeur		plat	féculent	moyen	rapide	moyen	FALSE	facile	TRUE	FALSE	
salade de pommes de terre		plat	féculent	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
riz aux amandes	recettes Louise	plat	féculent	rapide	rapide	rapide	TRUE	facile	TRUE	TRUE	
pâtes aux champignons	champignons de Paris, shiitakés, cèpes, girolles ; possibilité de les faire à la crème	plat	complet	moyen	moyen	moyen	TRUE	facile	TRUE	TRUE	
poêlée poivrons, haricots rouges et maïs		plat	légume, légumineuse	moyen	rapide	moyen	TRUE	facile	TRUE	TRUE	
lentilles aux oignons et aux carottes	recettes Louise	plat	légumineuse, légume	moyen	rapide	moyen	FALSE	facile	TRUE	TRUE	
salade composée de lentilles au saumon fumée	recettes Louise	plat	complet	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade de lentilles au citron et persil	recettes Louise	plat	légumineuse	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade composée de lentilles aux tomates cerises, roquette et feta	recettes Louise	plat	complet	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
carottes râpées		entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
chou rouge aux noix		entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
riz au safran	recettes Louise	plat	féculent	rapide	rapide	rapide	TRUE	facile	TRUE	TRUE	
salade de tomates (et oignons rouges)		entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade de concombre, noix cajou, citron et coriandre	recettes Louise	entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade de quinoa, radis et coriandre		entrée	féculent	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade de melon		entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade de bettrave, feta et noix	recettes Louise	entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade de bettrave et orange	recettes Louise	entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
semoule avec raisins et coriandre		plat	féculent	rapide	rapide	rapide	FALSE	facile	TRUE	TRUE	
choux fleur au four		plat	légume	moyen	rapide	moyen	FALSE	facile	TRUE	TRUE	
velouté de choux fleur	livre casseroles p. 154	plat	légume	moyen	rapide	moyen	FALSE	facile	TRUE	FALSE	
poêlée de courgettes et aubergines avec sésame		plat	légume	moyen	rapide	moyen	TRUE	facile	TRUE	TRUE	
pâtes & cordons bleus		plat	complet	rapide	rapide	rapide	FALSE	facile	TRUE	FALSE	
salade de bettrave, maïs et pois chiche		entrée	légume, légumineuse	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
taboulé du soleil	recettes Louise	plat	complet	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
salade d'endives, pommes (noix, feta)	recettes Louise	entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
gnocchis au chorizo	recettes Louise	plat	complet	rapide	rapide	rapide	TRUE	facile	TRUE	FALSE	
avocat en tranche		entrée	légume	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
pois chiches et vermicelles à la sauce tomates (avec graines)		plat	légumineuse	rapide	rapide	rapide	TRUE	facile	TRUE	TRUE	
salade tomates, pois chiches, persil		entrée	légume, légumineuse	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
polenta aux champignons	livres casseroles p.72	plat	complet	moyen	moyen	moyen	TRUE	facile	TRUE	TRUE	
polenta aux tomates cerises	livres casseroles p.92	plat	complet	moyen	moyen	moyen	TRUE	facile	TRUE	TRUE	
polenta aux marrons		plat	féculent	moyen	moyen	moyen	TRUE	facile	TRUE	TRUE	
pâtes amatriciana	recettes MAP	plat	complet	moyen	moyen	moyen	TRUE	facile	TRUE	TRUE	
saumon fumé avec boulgur, chou blanc et pommes (raisins, aneth, citron)	livre Bouddha bowl p.42	plat	complet	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
poulet korma	recettes Louise ; très bon avec de la semoule	plat	viande	long	moyen	moyen	FALSE	facile	TRUE	TRUE	
poulet pané à la pistache	livre Marabout p.34	plat	viande	rapide	rapide	rapide	TRUE	facile	TRUE	TRUE	
tarte tomates mozzarella	recettes MAP	plat	légume, féculent	long	moyen	long	FALSE	facile	TRUE	FALSE	
saumon croustillant au parmesan et tagliatelles au citron	livre Etudiants p.77	plat	complet	moyen	moyen	rapide	TRUE	facile	TRUE	FALSE	
wok de bœuf, épinards et mangue	livre Etudiants p.37	plat	complet	long	moyen	moyen	TRUE	facile	TRUE	TRUE	
carpaccio de cabillaud avec sauce aux agrumes et graines de coriandre		entrée	poisson	rapide	rapide	rapide	FALSE	facile	FALSE	FALSE	
poke bowl maison au thon	tomates cerises - oignon, semoule - radis, mangue, thon en conserve	plat	complet	rapide	rapide	rapide	FALSE	facile	FALSE	TRUE	
